bhk,rent,size,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,posted_on,floor_level,suburb,id
1,13000,550,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,3,Pitam Pura,2012
2,10000,450,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,April,4,Palam,2013
3,23000,125,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,3,Khirki Extension,2014
1,20000,400,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,May,3,Lajpat Nagar 4,2015
4,150000,2600,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner,May,2,Vasant Vihar,2016
2,22000,1000,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,4,Vasant Kunj,2017
2,14000,800,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,April,3,Mehrauli,2018
2,7000,50,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,May,2,Sector 14 Dwarka,2019
1,8500,550,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,May,2,Chattarpur Enclave,2020
1,8000,450,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,May,Ground,Chattarpur Enclave,2021
2,10000,670,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,July,2,Ram Nagar,2022
2,15000,700,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Dwarka,2023
3,37000,125,Super Area,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,May,3,Vikram Vihar,2024
3,90000,1872,Super Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,June,1,1,2025
2,12000,650,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,May,2,Chattarpur Enclave,2026
2,13000,550,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Agent,May,1,Chattarpur Enclave,2027
2,22000,84,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,May,Ground,Paschim Vihar,2028
2,12000,1000,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Laxmi Nagar,2029
1,9000,65,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,May,3,Lado Sarai,2030
2,14000,75,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Pandav Nagar,2031
1,15000,250,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Agent,July,Ground,Arjun Nagar,2032
3,30000,900,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,July,3,Arjun Nagar,2033
2,9500,650,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,July,Ground,Mayur Vihar,2034
1,12000,800,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,3,Sector 3,2035
3,70000,1500,Super Area,Delhi,Furnished,Bachelors/Family,3,Contact Owner,May,2,Rajouri Garden,2036
4,250000,2800,Carpet Area,Delhi,Unfurnished,Bachelors/Family,4,Contact Owner,May,2,Safdarjung Enclave,2037
3,31500,1800,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,June,2,Pitam Pura,2038
2,30000,1400,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,June,Ground,Mathura Rd,2039
3,35000,1200,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,June,3,Rajouri Garden,2040
3,55000,1150,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,July,2,Vikram Vihar,2041
2,17000,750,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,1,Panchsheel Vihar,2042
1,9300,450,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,July,1,A-6,2043
2,7500,410,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,June,2,Ghitorni,2044
2,20000,800,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,June,2,Janakpuri,2045
1,15000,650,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Agent,June,2,Saket,2046
2,13000,400,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,May,2,16,2047
2,20000,810,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,April,3,Vikaspuri,2048
3,12000,700,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,June,1,I.P.Extension,2049
2,8000,600,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,June,4,Sector 7,2050
3,95000,1300,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent,May,1,1,2051
3,68000,1450,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,June,2,Lajpat Nagar III,2052
4,130000,3500,Carpet Area,Delhi,Semi-Furnished,Bachelors,6,Contact Agent,June,1,Anand Niketan,2053
3,75000,2500,Carpet Area,Delhi,Semi-Furnished,Bachelors,4,Contact Agent,June,1,Sarvodaya Enclave,2054
4,110000,3000,Carpet Area,Delhi,Semi-Furnished,Bachelors,5,Contact Agent,June,2,Safdarjung Enclave,2055
4,150000,3500,Carpet Area,Delhi,Semi-Furnished,Bachelors,6,Contact Agent,June,3,Vasant Vihar,2056
1,10000,240,Super Area,Delhi,Semi-Furnished,Bachelors,1,Contact Owner,May,4,Malviya Nagar,2057
3,24000,1250,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Agent,May,2,Chattarpur Enclave,2058
3,28000,1000,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,Sector-24,2059
3,28000,900,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Owner,July,2,Panchsheel Vihar,2060
3,27000,1250,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,May,3,Chattarpur Enclave,2061
2,17000,650,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,May,2,Chattarpur Enclave,2062
3,350000,3200,Super Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner,April,1,Sundar Nagar,2063
2,25000,900,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,April,2,Pitam Pura,2064
3,16500,1250,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Agent,May,2,Chhatarpur Extension,2065
2,14000,60,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,June,3,Sector 21,2066
2,10000,50,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,April,1,Sector 8 Dwarka,2067
4,100000,400,Carpet Area,Delhi,Unfurnished,Bachelors/Family,4,Contact Agent,May,Ground,Sarvodaya Enclave,2068
2,25000,680,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Agent,July,2,Pitam Pura,2069
2,22999,756,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,June,2,JK Apartment,2070
2,40000,900,Carpet Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Vasant Kunj,2071
3,250000,2000,Super Area,Delhi,Furnished,Bachelors/Family,3,Contact Owner,June,3,Def Col,2072
1,13000,40,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,June,3,Shalimar Bagh,2073
1,14000,100,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,June,3,CR Park,2074
1,5500,200,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Owner,June,1,Sultanpur,2075
2,32000,900,Carpet Area,Delhi,Furnished,Bachelors/Family,2,Contact Agent,July,Ground,Lajpat Nagar,2076
2,8000,750,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Mehrauli,2077
2,28000,100,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,2,Shalimar Bagh,2078
2,22000,100,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,1,Kalkaji,2079
1,21000,100,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,Ground,CR Park,2080
1,12000,400,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,June,2,Lajpat Nagar,2081
1,15000,70,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,June,2,DL,2082
1,10000,42,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,April,Ground,Sector 23,2083
1,16000,400,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,June,2,Lajpat Nagar,2084
4,28000,1500,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,May,2,Sector-24,2085
1,7000,70,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Palam,2086
2,15000,900,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,July,Ground,Hari Nagar,2087
1,8000,500,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Ghitorni,2088
1,9000,400,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,July,2,Pitam Pura,2089
3,33500,150,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,June,2,JK Apartment,2090
1,9500,450,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Neb Sarai,2091
1,20000,400,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,June,3,Lajpat Nagar,2092
1,15000,700,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,May,4,DL,2093
3,55000,1450,Carpet Area,Delhi,Furnished,Bachelors,2,Contact Agent,June,Ground,Vasant Kunj,2094
2,20000,1000,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,June,2,Patparganj,2095
2,16000,550,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,June,1,Saket,2096
2,25000,1100,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,July,Ground,New Delhi,2097
1,9000,600,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,June,1,Saket,2098
2,11500,550,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,June,2,Mayur Vihar,2099
3,16000,1000,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,June,1,Dwarka Mor,2100
3,23000,1250,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Agent,May,2,Chattarpur Enclave,2101
4,30000,1950,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent,May,2,Chattarpur Enclave,2102
3,110000,1750,Carpet Area,Delhi,Semi-Furnished,Bachelors,4,Contact Agent,June,4,Safdarjung Enclave,2103
1,3500,25,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,June,3,Burari,2104
2,12100,700,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,June,3,Shadipur,2105
2,40000,1000,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,May,3,2,2106
2,8000,200,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Najafgarh,2107
3,42000,1700,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,July,2,Pitam Pura,2108
3,13000,70,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Pandav Nagar,2109
3,44000,1700,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,July,3,Pitam Pura,2110
1,11000,450,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,June,1,Saket,2111
3,40000,1350,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,July,2,Safdarjung Enclave,2112
4,150000,2550,Super Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent,May,3,1,2113
2,13000,650,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,May,2,Chhatarpur,2114
2,17500,650,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,May,2,Chhatarpur,2115
3,14500,1250,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,May,1,Chhatarpur,2116
3,24000,1250,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Agent,May,2,Chhatarpur,2117
3,30000,1000,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,June,3,Mayur Vihar Phase 1 Extension,2118
1,10000,500,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Kalkaji,2119
1,10000,500,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,3,Neb Sarai,2120
3,90000,1550,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,July,2,Safdarjung Enclave,2121
2,32000,1150,Super Area,Delhi,Unfurnished,Bachelors,2,Contact Owner,June,1,Shalimar Bagh,2122
3,80000,2000,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,May,3,Sarvodaya Enclave,2123
3,30000,1205,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,May,2,Sector 5,2124
3,42000,1450,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,June,2,Vasant Kunj,2125
2,7000,350,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,Raj Nagar II Extension,2126
1,17000,400,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,June,3,Lajpat Nagar,2127
1,18000,700,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Mayur Vihar,2128
1,17000,450,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,June,1,Paryavaran Complex,2129
3,27000,1200,Super Area,Delhi,Semi-Furnished,Family,2,Contact Owner,June,10,DL,2130
3,25000,1200,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,July,2,Patparganj,2131
2,24500,84,Carpet Area,Delhi,Furnished,Bachelors,2,Contact Agent,June,1,Paschim Vihar,2132
1,10000,200,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,East of Kailash,2133
2,35000,1300,Super Area,Delhi,Unfurnished,Bachelors,2,Contact Agent,May,2,Kalkaji,2134
1,7000,200,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,June,1,16,2135
1,5000,300,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,July,Ground,Laxmi Nagar,2136
2,5000,550,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,May,3,Mohan Garden,2137
2,12000,950,Super Area,Delhi,Semi-Furnished,Bachelors,1,Contact Owner,May,2,Uttam Nagar,2138
2,30000,750,Carpet Area,Delhi,Furnished,Bachelors/Family,2,Contact Agent,May,2,Arjun Nagar,2139
2,25000,950,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Mayur Vihar,2140
1,6000,350,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,1,Laxmi Nagar,2141
3,40000,180,Carpet Area,Delhi,Unfurnished,Bachelors,3,Contact Agent,July,Ground,Janakpuri,2142
2,8500,60,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Mayur Vihar,2143
2,16500,950,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,June,2,I.P.Extension,2144
3,100000,1400,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,May,1,Jungpura Extension,2145
3,52000,200,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,June,2,1,2146
1,12500,450,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,May,2,Patel Nagar,2147
1,15000,350,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Arjun Nagar,2148
1,5000,300,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Owner,June,1,Ashok Nagar,2149
2,40000,95,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,May,3,Safdarjung Enclave,2150
1,6000,25,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,4,Hari Nagar Ashram,2151
3,85000,325,Carpet Area,Delhi,Unfurnished,Bachelors,3,Contact Agent,June,1,Def Col,2152
2,18000,80,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,Rajouri Garden,2153
2,7500,77,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,May,3,Mandawali,2154
2,10000,60,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,3,Bindapur,2155
2,12000,500,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,July,1,Laxmi Nagar,2156
2,10500,500,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,2,Laxmi Nagar,2157
2,31000,1200,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,3,Pitam Pura,2158
2,12500,500,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,July,2,Laxmi Nagar,2159
2,15000,1100,Super Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,July,1,Medavakkam,2160
2,6500,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Grand Southern Trunk Rd,2161
3,90000,2400,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,May,1,RA Puram,2162
3,200000,3000,Super Area,Chennai,Furnished,Family,4,Contact Agent,July,1,Boat Club Rd,2163
2,15000,1000,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,May,17,Thazhambur,2164
2,7600,700,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Anakaputhur,2165
3,29000,1200,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Agent,June,1,Ashok Nagar,2166
3,20000,1710,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,June,15,Old Mahabalipuram Road,2167
2,12000,600,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,May,1,Mangadu,2168
2,29000,1300,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Anna Nagar West,2169
2,26000,1027,Super Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,July,15,Karapakkam,2170
3,25000,1350,Super Area,Chennai,Furnished,Family,3,Contact Owner,July,Ground,Alandur,2171
2,10000,950,Super Area,Chennai,Unfurnished,Family,2,Contact Owner,May,1,Selaiyur,2172
2,14000,1300,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,May,1,Iyyappanthangal,2173
2,6000,600,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Poonamallee,2174
3,40000,1428,Super Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,May,Ground,Grand Southern Trunk Rd,2175
2,23000,920,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,K. K. Nagar,2176
2,10000,600,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Sadhanathapuram,2177
2,10000,810,Carpet Area,Chennai,Unfurnished,Bachelors,1,Contact Owner,June,Ground,Chennai Bypass Rd,2178
2,15000,1200,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Ramapuram,2179
2,20000,600,Super Area,Chennai,Unfurnished,Family,1,Contact Owner,May,1,Poonamallee High Rd,2180
2,15000,850,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Old Mahabalipuram Road,2181
4,22000,2117,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Owner,June,20,Sholinganallur,2182
2,6000,900,Super Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,April,1,Guduvancheri,2183
2,20000,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Thiruvanmiyur,2184
1,6500,500,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Poonamallee High Rd,2185
2,12000,800,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Poonamallee High Rd,2186
2,27000,1550,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,May,2,Alwarpet,2187
3,20000,1700,Carpet Area,Chennai,Furnished,Bachelors/Family,6,Contact Owner,May,Ground,Thirumazhisai,2188
2,22000,700,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,3,T. Nagar,2189
1,7000,400,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Koyambedu,2190
2,7000,450,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Pammal,2191
1,6500,500,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner,May,1,Velachery,2192
2,9000,770,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,GST Road,2193
1,4500,150,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Velachery,2194
2,12000,850,Super Area,Chennai,Unfurnished,Family,2,Contact Owner,May,Ground,Perambur,2195
2,18000,1100,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,June,Ground,Iyyappanthangal,2196
1,6500,250,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Adambakkam,2197
2,13000,600,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,April,1,Medavakkam,2198
2,11200,700,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,April,1,Nanganallur,2199
1,12000,500,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Arumbakkam,2200
3,45000,1800,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Agent,July,2,Royapettah,2201
3,35000,1550,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,May,3,Thiruvanmiyur,2202
3,34999,1462,Carpet Area,Chennai,Semi-Furnished,Family,3,Contact Agent,July,3,Nandambakkam,2203
2,11000,970,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,June,Ground,Pallikaranai,2204
3,150000,2300,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Agent,May,11,Sardar Patel Rd,2205
2,15000,700,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Nanganallur,2206
2,15000,674,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,June,Ground,Grand Southern Trunk Rd,2207
2,10000,750,Carpet Area,Chennai,Unfurnished,Family,2,Contact Owner,May,Ground,East Tambaram,2208
3,40000,1800,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Agent,June,3,T. Nagar,2209
2,24000,1100,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,May,2,Kodambakkam,2210
2,12000,985,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,June,3,Oragadam,2211
2,30000,1200,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,July,3,Mandaveli,2212
2,10000,1200,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,GST Road,2213
2,15000,900,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,July,1,Poonamallee High Rd,2214
2,33000,800,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Agent,June,1,Abiramapuram,2215
2,9000,800,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,1,Chennai Bypass Rd,2216
3,30000,1500,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,May,3,ECR,2217
2,13000,680,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,T. Nagar,2218
2,12000,875,Super Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,July,2,Madipakkam,2219
2,20000,880,Carpet Area,Chennai,Semi-Furnished,Family,2,Contact Owner,May,1,K. K. Nagar,2220
3,36000,1500,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,July,2,Choolaimedu,2221
2,10000,950,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,May,1,Sithalapakkam,2222
2,16000,850,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,Ground,West Mambalam,2223
1,6000,450,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Nungambakkam,2224
1,6500,400,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,June,2,Perungudi,2225
2,8000,800,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,April,Ground,GST Road,2226
2,12500,600,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Abiramapuram,2227
2,11000,800,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,July,1,Perungudi,2228
3,40000,1600,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,July,1,Raja Annamalai Puram,2229
2,15000,700,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Agent,May,1,Choolaimedu,2230
2,8000,800,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Kayarambedu,2231
3,34000,2120,Super Area,Chennai,Furnished,Bachelors/Family,3,Contact Owner,July,9,Siruseri,2232
1,14000,420,Carpet Area,Chennai,Unfurnished,Bachelors,1,Contact Owner,May,1,West Mambalam,2233
2,15000,1000,Built Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,June,1,Grand Southern Trunk Rd,2234
3,21000,1330,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,May,1,AGS Colony,2235
3,12000,930,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,June,2,Old Mahabalipuram Road,2236
3,75000,1900,Carpet Area,Chennai,Semi-Furnished,Family,3,Contact Agent,July,3,Gopalapuram,2237
2,15000,1200,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,May,1,Pallikaranai,2238
1,6000,350,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,GST Road,2239
3,20500,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Virugambakkam,2240
2,13500,1210,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,14,Old Mahabalipuram Road,2241
2,10000,750,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,May,Ground,Pattabiram,2242
3,15000,1150,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,July,1,Pallavaram,2243
2,12000,930,Carpet Area,Chennai,Furnished,Family,2,Contact Owner,June,1,Chennai,2244
2,20000,800,Carpet Area,Chennai,Semi-Furnished,Family,2,Contact Agent,July,13,Vadapalani,2245
2,24000,850,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,May,Ground,Mylapore,2246
2,16000,650,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,Mylapore,2247
2,10000,770,Super Area,Chennai,Unfurnished,Family,1,Contact Owner,June,1,Chennai Bypass Rd,2248
3,30000,1800,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Owner,July,1,100 Feet Rd,2249
2,10000,950,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,Anakaputhur,2250
